Time,Curr_temp,Set_temp
0,29.6,20.0
1,29.6,20.0
2,29.59,20.0
3,29.59,20.0
4,29.6,20.0
5,29.59,20.0
6,29.59,56.99
7,29.59,56.99
8,29.61,56.99
9,29.61,56.99
10,29.63,56.99
11,29.64,56.99
12,29.67,56.99
13,29.69,56.99
14,29.74,56.99
15,29.78,56.99
16,29.82,56.99
17,29.85,56.99
18,29.9,56.99
19,29.96,56.99
20,30.0,56.99
21,30.05,56.99
22,30.1,56.99
23,30.16,56.99
24,30.22,56.99
25,30.28,56.99
26,30.34,56.99
27,30.39,56.99
28,30.46,56.99
29,30.52,56.99
30,30.59,56.99
31,30.64,56.99
32,30.72,56.99
33,30.79,56.99
34,30.84,56.99
35,30.92,56.99
36,31.0,56.99
37,31.07,56.99
38,31.14,56.99
39,31.23,56.99
40,31.3,56.99
41,31.37,56.99
42,31.45,56.99
43,31.51,56.99
44,31.6,56.99
45,31.69,56.99
46,31.75,56.99
47,31.83,56.99
48,31.92,56.99
49,31.99,56.99
50,32.08,56.99
51,32.16,56.99
52,32.24,56.99
53,32.32,56.99
54,32.39,56.99
55,32.5,56.99
56,32.59,56.99
57,32.66,56.99
58,32.74,56.99
59,32.85,56.99
60,32.92,56.99
61,33.01,56.99
62,33.1,56.99
63,33.18,56.99
64,33.26,56.99
65,33.35,56.99
66,33.44,56.99
67,33.53,56.99
68,33.61,56.99
69,33.7,56.99
70,33.79,56.99
71,33.89,56.99
72,33.98,56.99
73,34.05,56.99
74,34.16,56.99
75,34.25,56.99
76,34.33,56.99
77,34.42,56.99
78,34.52,56.99
79,34.6,56.99
80,34.69,56.99
81,34.78,56.99
82,34.87,56.99
83,34.97,56.99
84,35.05,56.99
85,35.14,56.99
86,35.24,56.99
87,35.33,56.99
88,35.42,56.99
89,35.52,56.99
90,35.62,56.99
91,35.69,56.99
92,35.78,56.99
93,35.88,56.99
94,35.97,56.99
95,36.07,56.99
96,36.16,56.99
97,36.24,56.99
98,36.34,56.99
99,36.45,56.99
100,36.53,56.99
101,36.63,56.99
102,36.72,56.99
103,36.81,56.99
104,36.91,56.99
105,37.0,56.99
106,37.1,56.99
107,37.18,56.99
108,37.28,56.99
109,37.37,56.99
110,37.47,56.99
111,37.56,56.99
112,37.65,56.99
113,37.74,56.99
114,37.84,56.99
115,37.93,56.99
116,38.02,56.99
117,38.11,56.99
118,38.2,56.99
119,38.29,56.99
120,38.37,56.99
121,38.49,56.99
122,38.58,56.99
123,38.66,56.99
124,38.75,56.99
125,38.84,56.99
126,38.94,56.99
127,39.03,56.99
128,39.14,56.99
129,39.22,56.99
130,39.31,56.99
131,39.42,56.99
132,39.51,56.99
133,39.59,56.99
134,39.68,56.99
135,39.78,56.99
136,39.87,56.99
137,39.96,56.99
138,40.06,56.99
139,40.15,56.99
140,40.24,56.99
141,40.33,56.99
142,40.43,56.99
143,40.5,56.99
144,40.6,56.99
145,40.69,56.99
146,40.79,56.99
147,40.88,56.99
148,40.96,56.99
149,41.04,56.99
150,41.13,56.99
151,41.23,56.99
152,41.32,56.99
153,41.4,56.99
154,41.5,56.99
155,41.58,56.99
156,41.66,56.99
157,41.75,56.99
